site_prob,perc_prob,perc_time
0.25,0.0,3.777
0.3,0.0,4.851
0.35,0.0,6.456
0.39999999999999997,0.0,8.76
0.44999999999999996,0.0,13.012
0.5,0.0,21.771
0.505,0.0,23.148
0.51,0.0,24.504
0.515,0.0,26.329
0.52,0.0,28.484
0.525,0.0001,30.654
0.53,0.0004,33.366
0.535,0.0004,36.358
0.54,0.0018,40.799
0.545,0.0044,43.949
0.55,0.0076,49.073
0.555,0.0132,55.769
0.56,0.0284,62.096
0.5650000000000001,0.0487,71.677
0.5700000000000001,0.0916,81.703
0.5750000000000001,0.148,93.318
0.5800000000000001,0.2179,105.163
0.5850000000000001,0.3229,119.556
0.5900000000000001,0.4425,133.921
0.592746,0.4979,140.377
0.5950000000000001,0.5611,146.667
0.6000000000000001,0.668,158.608
0.6050000000000001,0.7754,170.9
0.6100000000000001,0.8579,180.261
0.6150000000000001,0.9173,189.454
0.6200000000000001,0.9493,197.596
0.6250000000000001,0.9738,204.97
0.6300000000000001,0.9881,209.31
0.6350000000000001,0.994,215.101
0.6400000000000001,0.9977,220.603
0.6450000000000001,0.9981,224.577
0.6500000000000001,0.9993,228.811
0.6550000000000001,0.9998,231.478
0.6600000000000001,1.0,234.537
0.6650000000000001,1.0,237.525
0.6700000000000002,1.0,240.33
0.6750000000000002,1.0,243.205
0.6800000000000002,1.0,246.747
0.6850000000000002,1.0,249.375
0.6900000000000002,1.0,251.646
0.6950000000000002,1.0,252.539
0.7,1.0,254.986
0.75,1.0,273.938
0.8,1.0,290.27
0.8500000000000001,1.0,306.64
