site_prob,clus_size,clus_time
0.25,17.282,5.554
0.3,25.012,7.582
0.35,36.982,9.956
0.39999999999999997,58.272,12.589
0.44999999999999996,105.248,15.939
0.5,220.558,18.615
0.505,247.792,19.284
0.51,270.298,19.59
0.515,299.966,19.543
0.52,326.008,19.469
0.525,368.104,20.046
0.53,423.614,20.075
0.535,474.6,20.255
0.54,549.862,20.873
0.545,597.438,20.529
0.55,686.074,21.055
0.555,827.026,21.499
0.56,922.864,21.072
0.5650000000000001,1120.344,21.452
0.5700000000000001,1331.482,21.615
0.5750000000000001,1499.862,21.63
0.5800000000000001,1834.864,22.071
0.5850000000000001,2134.602,22.283
0.5900000000000001,2538.716,22.116
0.592746,2699.122,22.125
0.5950000000000001,2847.106,22.096
0.6000000000000001,3318.002,22.107
0.6050000000000001,3683.58,22.519
0.6100000000000001,4173.214,22.744
0.6150000000000001,4495.782,23.287
0.6200000000000001,4821.69,22.617
0.6250000000000001,5109.716,22.725
0.6300000000000001,5348.834,23.029
0.6350000000000001,5525.732,23.407
0.6400000000000001,5725.15,23.299
0.6450000000000001,5830.438,22.44
0.6500000000000001,5970.66,22.455
0.6550000000000001,6079.084,22.425
0.6600000000000001,6182.652,22.378
0.6650000000000001,6292.55,22.24
0.6700000000000002,6371.618,22.162
0.6750000000000002,6457.6,21.965
0.6800000000000002,6539.634,21.858
0.6850000000000002,6616.756,21.967
0.6900000000000002,6692.26,21.679
0.6950000000000002,6760.98,21.623
0.7,6831.218,21.282
0.75,7438.112,19.947
0.8,7976.758,18.808
0.8500000000000001,8493.19,17.137
